Genbank Windows,Gator Focal Window,Gator Focal Sum,Gator Focal Score
window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,14.22386815872856,1.0
window_3--genomic3.gbff,window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,10.851697403607346,0.7629216808332225
window_5--genomic.gbff,window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,8.97491149927837,0.6309754420615087
window_4--genomic2.gbff,window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,4.467767881962471,0.3141035780214821
window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,4.467767881962471,0.3141035780214821
window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,4.467767881962471,0.3141035780214821
window_5--genomic.gbff,window_5--genomic.gbff,11.395040920580389,1.0
window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,window_5--genomic.gbff,8.257462092083404,0.7246540095498686
window_3--genomic3.gbff,window_5--genomic.gbff,8.220107931517934,0.7213759027992376
window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,window_5--genomic.gbff,5.180732196164503,0.4546479676793149
window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,window_5--genomic.gbff,5.180732196164503,0.4546479676793149
window_4--genomic2.gbff,window_5--genomic.gbff,3.5897502185310075,0.3150274091642462
window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,11.213124570397436,1.0
window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,11.213124570397436,1.0
window_4--genomic2.gbff,window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,9.441625771479195,0.8420155962955246
window_5--genomic.gbff,window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,4.055918335269706,0.361711698626563
window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,4.055815632705087,0.3617025394877365
window_3--genomic3.gbff,window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,4.055815632705087,0.3617025394877365
window_3--genomic3.gbff,window_3--genomic3.gbff,13.771360567189443,1.0
window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,window_3--genomic3.gbff,10.6813888558493,0.7756233528078506
window_5--genomic.gbff,window_3--genomic3.gbff,7.967395072978742,0.5785481422918538
window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,window_3--genomic3.gbff,4.396404398672906,0.3192425597473231
window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,window_3--genomic3.gbff,4.396404398672906,0.3192425597473231
window_4--genomic2.gbff,window_3--genomic3.gbff,3.3964043986729053,0.2466280932883937
window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,11.213124570397436,1.0
window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,11.213124570397436,1.0
window_4--genomic2.gbff,window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,9.441625771479195,0.8420155962955246
window_5--genomic.gbff,window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,4.055918335269706,0.361711698626563
window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,4.055815632705087,0.3617025394877365
window_3--genomic3.gbff,window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,4.055815632705087,0.3617025394877365
window_4--genomic2.gbff,window_4--genomic2.gbff,8.405145398652746,1.0
window_2--GCF_008124915.1_ASM812491v1_genomic.gbff,window_4--genomic2.gbff,7.193295705228749,0.8558204961429646
window_6--GCF_008931305.1_ASM893130v1_genomic.gbff,window_4--genomic2.gbff,7.193295705228749,0.8558204961429646
window_1--GCF_017298755.1_ASM1729875v1_genomic.gbff,window_4--genomic2.gbff,2.829302903924721,0.3366155812579076
window_5--genomic.gbff,window_4--genomic2.gbff,2.8007374183701508,0.3332170100018827
window_3--genomic3.gbff,window_4--genomic2.gbff,1.8007374031401713,0.2142422668177531
